subject	session	orientation	sd_E
20	2	163.99998474121094	12.26227532919068
20	2	164.99998474121094	11.173324609437207
20	2	166.0	12.487584486889183
20	2	166.99998474121094	11.361058335190531
20	2	168.0	12.523366140403589
20	2	168.99998474121094	12.018610891871415
20	2	169.99998474121094	10.605577941284592
20	2	170.99998474121094	9.507133258584801
20	2	171.99998474121094	9.74566993138468
20	2	173.0	9.101027286008767
20	2	173.99998474121094	8.307931332796274
20	2	175.0	9.003949807335376
20	2	175.99998474121094	8.440341380046142
20	2	176.99998474121094	6.98889587245399
20	2	178.0	7.001669606862383
20	2	178.99998474121094	6.501876917649048
3	1	0.0	9.610474020727095
3	1	0.9999999403953552	10.157590102491687
3	1	1.9999998807907104	10.194475685330694
3	1	3.0	9.592096542991529
3	1	3.999999761581421	10.005610709496086
3	1	4.999999523162842	10.850743312673968
3	1	6.0	10.276192922334372
3	1	6.999999523162842	11.675048107751541
3	1	7.999999523162842	11.07634189963855
3	1	9.0	12.295435897611092
3	1	9.999999046325684	12.229948897622657
3	1	10.999999046325684	11.599967253300177
3	1	12.0	12.520705781721867
3	1	12.999999046325684	13.321890386458948
3	1	13.999999046325684	12.658373367085353
3	1	15.0	12.969490191326726
3	1	15.999999046325684	14.38227469378249
3	1	16.999998092651367	14.578994387162611
3	1	18.0	14.995960360518966
3	1	18.999998092651367	14.155965767144226
3	1	19.999998092651367	15.712609421446091
3	1	21.0	15.602624592788668
3	1	21.999998092651367	15.348394706597038
3	1	22.999998092651367	14.607209898623935
3	1	24.0	14.117235179455669
3	1	24.999998092651367	13.260233415047598
3	1	25.999998092651367	13.516073518336057
3	1	27.0	13.416304091356036
3	1	27.999998092651367	12.706947111141545
3	1	28.999998092651367	11.723754186722903
3	1	30.0	10.784895166433168
3	1	30.999996185302734	10.332273044288408
3	1	31.999998092651367	9.29707932839752
3	1	33.0	9.343639874195851
3	1	33.999996185302734	8.907152366417955
3	1	34.999996185302734	8.1472340570988
3	1	36.0	7.966985364902163
3	1	36.999996185302734	7.25149743613394
3	1	37.999996185302734	7.16946857174938
3	1	39.0	6.5575510702342905
3	1	39.999996185302734	6.599411592110006
3	1	40.999996185302734	6.045705231569998
3	1	42.0	5.965112414458432
3	1	42.999996185302734	6.114661540769977
3	1	43.999996185302734	5.947757757551076
3	1	45.0	5.66316639983827
3	1	45.999996185302734	5.900669579639362
3	1	46.999996185302734	6.294138848477226
3	1	48.0	6.253640522454104
3	1	48.999996185302734	5.9571629280381835
3	1	49.999996185302734	6.242656297608254
3	1	51.0	6.712331267676419
3	1	51.999996185302734	7.360081222237864
3	1	52.999996185302734	7.24924688880242
3	1	54.0	7.752263854190826
3	1	54.999996185302734	8.264033707000603
3	1	55.999996185302734	8.056074083567578
3	1	57.0	9.840630905189014
3	1	57.999996185302734	10.228687249109642
3	1	58.999996185302734	10.719158864540026
3	1	60.0	10.909128623472883
3	1	61.0	12.19895776803737
3	1	61.99999237060547	12.608985976744282
3	1	62.999996185302734	13.089955945265533
3	1	63.999996185302734	13.28766516230166
3	1	65.0	14.49427784333965
3	1	66.0	15.048534034107846
3	1	67.0	15.312336430421249
3	1	67.99999237060547	15.509967954055567
3	1	68.99999237060547	15.526515794867215
3	1	69.99999237060547	16.430858454186293
3	1	71.0	16.21824491060755
3	1	72.0	16.873760363368476
3	1	73.0	15.393313445673627
3	1	73.99999237060547	15.40245565387769
3	1	74.99999237060547	15.153666013359974
3	1	75.99999237060547	12.976605540894587
3	1	77.0	13.535689821632333
3	1	78.0	12.814426114147219
3	1	79.0	12.130281069706538
3	1	79.99999237060547	12.191540182598736
3	1	80.99999237060547	11.797988097717186
3	1	81.99999237060547	11.29072104711774
3	1	83.0	10.17388181120946
3	1	84.0	10.176349217047127
3	1	84.99999237060547	9.142505317290963
3	1	85.99999237060547	9.050094565367983
3	1	86.99999237060547	9.315370574994816
3	1	87.99999237060547	10.61242264460659
3	1	89.0	9.036033767187865
3	1	90.0	8.975987012873345
3	1	90.99999237060547	8.94572415220831
3	1	91.99999237060547	8.994035787755102
3	1	92.99999237060547	10.455474288989807
3	1	93.99999237060547	9.967248098249064
3	1	95.0	10.150381691596385
3	1	96.0	10.759103518353553
3	1	96.99999237060547	10.541661884805258
3	1	97.99999237060547	10.82165439077253
3	1	98.99999237060547	10.872714323686607
3	1	99.99999237060547	12.2171499768917
3	1	100.99999237060547	12.55051784990168
3	1	102.0	12.803502934117075
3	1	102.99999237060547	14.017702247775658
3	1	103.99999237060547	13.891190068874097
3	1	104.99999237060547	14.467633275387431
3	1	105.99999237060547	13.87501532714586
3	1	106.99999237060547	15.676315503743936
3	1	108.0	16.188137436746132
3	1	108.99999237060547	15.800568597577515
3	1	109.99999237060547	15.070766299856237
3	1	110.99999237060547	16.5177504132599
3	1	111.99999237060547	16.147197282861075
3	1	112.99999237060547	15.620384792177994
3	1	114.0	15.360410716894384
3	1	115.0	15.169851854145612
3	1	115.99999237060547	13.891836375524308
3	1	117.0	13.846219249605086
3	1	117.99999237060547	12.596876905119496
3	1	118.99999237060547	12.772018323364255
