subject	quantity	roi	session	run	trial_nr	true	post_mean	post_map	post_sd	error
06	value	BensonV1	1	5	103	32.5	34.168295246032805	34.336735	1.003967372675656	1.6682952460328053
06	value	BensonV1	1	5	104	5.5	9.683547868948805	9.663265	0.5665292776034363	4.183547868948805
06	value	BensonV1	1	5	105	16.0	17.265184042672086	16.82653	0.9575510973168693	1.265184042672086
06	value	BensonV1	1	5	106	34.0	31.021429141601274	31.15306	1.1743155226858375	-2.978570858398726
06	value	BensonV1	1	5	107	13.0	28.93514245822198	28.765306	1.837498339739085	15.935142458221979
06	value	BensonV1	1	5	108	12.5	14.41161816342206	14.438775	0.800902881446365	1.9116181634220606
06	value	BensonV1	1	5	109	38.5	2.5000052087865328	2.5	0.0020576231529877537	-35.99999479121347
06	value	BensonV1	1	5	110	33.0	41.45300553540418	41.5	0.26889612155754095	8.45300553540418
06	value	BensonV1	1	5	111	14.0	18.120892234413468	17.62245	1.0872844920597522	4.120892234413468
06	value	BensonV1	1	5	112	12.0	19.25836067507388	19.214285	1.1307871253585962	7.258360675073881
06	value	BensonV1	1	5	113	31.5	29.16922660743923	28.765306	0.9794919509037041	-2.3307733925607685
06	value	BensonV1	1	5	114	10.0	6.582968682971604	6.479592	0.9084325267992791	-3.417031317028396
06	value	BensonV1	1	5	115	11.5	10.37692940015098	10.459184	0.5163839129341067	-1.1230705998490205
06	value	BensonV1	1	6	116	31.5	31.413978730457977	31.94898	1.4030706176364156	-0.08602126954202305
06	value	BensonV1	1	6	117	25.5	27.645928723957674	27.17347	1.2735263277861852	2.145928723957674
06	value	BensonV1	1	6	118	33.0	36.8389538718331	35.92857	2.2929125729538637	3.838953871833098
06	value	BensonV1	1	6	119	13.0	11.590040613856187	11.255102	0.7217537336736815	-1.4099593861438127
06	value	BensonV1	1	6	120	11.5	11.550276484622923	11.255102	0.5049555782090306	0.050276484622923334
06	value	BensonV1	1	6	121	38.5	39.55333122431013	41.5	2.0494054961966133	1.0533312243101278
06	value	BensonV1	1	6	122	16.0	24.99111186204332	24.785715	1.362964285694355	8.991111862043319
06	value	BensonV1	1	6	123	14.0	18.220111533449753	18.418367	1.4256286938586926	4.220111533449753
06	value	BensonV1	1	6	124	5.5	11.446319147437958	11.255102	0.696618230288472	5.946319147437958
06	value	BensonV1	1	6	125	32.5	33.35316023955801	34.336735	1.4754603752308666	0.853160239558008
06	value	BensonV1	1	6	126	22.0	26.748899024675193	27.17347	1.04287477551654	4.748899024675193
06	value	BensonV1	1	6	127	8.0	10.754231003499985	10.459184	0.5073984206220274	2.754231003499985
06	value	BensonV1	1	6	128	11.0	3.242792318067556	3.2959185	0.43499675026194595	-7.757207681932444
06	value	BensonV1	1	6	129	34.0	26.628636389905605	41.5	18.860064128861172	-7.371363610094395
06	value	BensonV1	1	6	130	30.0	27.59547953687443	27.969387	0.9593756436469876	-2.4045204631255714
06	value	BensonV1	1	6	131	18.5	15.942031568912455	16.030613	1.158280017845875	-2.557968431087545
06	value	BensonV1	1	6	132	31.0	34.68741978774402	34.336735	1.0467995706733404	3.6874197877440196
06	value	BensonV1	1	6	133	12.0	7.496694641008705	8.071428	1.203090485164384	-4.503305358991295
06	value	BensonV1	1	6	134	12.5	15.444929321332479	16.030613	1.4433299115215927	2.944929321332479
06	value	BensonV1	1	6	135	10.0	10.872179012769257	11.255102	0.5998479944545914	0.8721790127692568
06	value	BensonV1	1	6	136	28.0	25.593689173234516	25.581633	1.6181041050233909	-2.406310826765484
06	value	BensonV1	1	6	137	32.0	33.3296410648629	33.540817	0.8294133883189897	1.3296410648628978
06	value	BensonV1	1	6	138	36.0	36.00222597281507	36.72449	2.389084290701589	0.002225972815068644
06	value	BensonV1	1	7	139	10.0	9.68336455197062	9.663265	3.421202613972241	-0.3166354480293805
06	value	BensonV1	1	7	140	13.0	12.78217198043592	12.051021	1.6516345389672586	-0.21782801956407916
06	value	BensonV1	1	7	141	33.0	38.255479992288265	38.316326	1.0873412802340754	5.255479992288265
06	value	BensonV1	1	7	142	12.5	11.961384494645351	12.051021	0.3257868318007449	-0.5386155053546489
06	value	BensonV1	1	7	143	25.5	22.538598733268802	22.397959	1.2475060779196112	-2.9614012667311975
06	value	BensonV1	1	7	144	11.0	2.6581846468270305	2.5	0.35667196429026393	-8.341815353172969
06	value	BensonV1	1	7	145	30.0	2.5000732392444402	2.5	0.05229840554526884	-27.49992676075556
06	value	BensonV1	1	7	146	32.0	31.547740820236754	31.94898	1.4751910033061666	-0.4522591797632458
06	value	BensonV1	1	7	147	32.5	35.89534480169237	39.908165	4.098010188645336	3.3953448016923673
06	value	BensonV1	1	7	148	8.0	8.554015090815097	8.071428	1.3253095298703799	0.5540150908150974
06	value	BensonV1	1	7	149	34.0	41.29096017999357	41.5	0.6783952797039986	7.290960179993569
06	value	BensonV1	1	7	150	12.0	13.315072731875029	12.846939	0.6430838477898765	1.3150727318750288
06	value	BensonV1	1	7	151	38.5	35.88208730295846	35.92857	2.4338792783363643	-2.6179126970415396
06	value	BensonV1	1	7	152	18.5	15.488499025985927	15.234694	0.8460074863783543	-3.011500974014073
06	value	BensonV1	1	7	153	31.0	20.897456336588487	21.602041	3.097746694113793	-10.102543663411513
06	value	BensonV1	1	7	154	31.5	22.850723264806938	2.5	10.644423215945839	-8.649276735193062
06	value	BensonV1	1	7	155	16.0	21.661039769671206	21.602041	1.524689949646864	5.661039769671206
06	value	BensonV1	1	7	156	36.0	40.95166944264687	41.5	3.8767863569449053	4.9516694426468675
06	value	BensonV1	1	7	157	22.0	2.510447541540426	2.5	0.0945562622625201	-19.489552458459574
06	value	BensonV1	1	7	158	28.0	27.205214613569893	27.17347	1.0596305681286686	-0.7947853864301067
