subject	orientation	response	mapping	value
2	15.0	5.0	inverse_cdf	3.0
2	157.5	37.5	inverse_cdf	40.0
2	90.0	22.0	inverse_cdf	22.0
2	7.5	3.0	inverse_cdf	2.5
2	75.0	20.0	inverse_cdf	21.0
2	165.0	39.0	inverse_cdf	41.0
2	52.5	12.0	inverse_cdf	16.0
2	60.0	15.5	inverse_cdf	18.5
2	97.5	22.5	inverse_cdf	22.5
2	105.0	23.5	inverse_cdf	23.0
2	120.0	28.5	inverse_cdf	25.5
2	45.0	11.5	inverse_cdf	11.5
2	142.5	35.5	inverse_cdf	36.5
2	30.0	7.5	inverse_cdf	5.0
2	135.0	33.0	inverse_cdf	32.5
2	37.5	12.0	inverse_cdf	7.5
2	127.5	29.0	inverse_cdf	28.0
2	82.5	20.0	inverse_cdf	21.5
2	150.0	34.5	inverse_cdf	39.0
2	67.5	18.0	inverse_cdf	20.0
2	112.5	25.0	inverse_cdf	24.0
2	135.0	28.5	inverse_cdf	32.5
2	90.0	22.0	inverse_cdf	22.0
2	97.5	23.0	inverse_cdf	22.5
2	165.0	40.0	inverse_cdf	41.0
2	30.0	7.5	inverse_cdf	5.0
2	105.0	25.5	inverse_cdf	23.0
2	37.5	11.0	inverse_cdf	7.5
2	150.0	34.0	inverse_cdf	39.0
2	7.5	3.0	inverse_cdf	2.5
2	45.0	11.5	inverse_cdf	11.5
2	60.0	16.0	inverse_cdf	18.5
2	82.5	20.5	inverse_cdf	21.5
2	172.5	40.5	inverse_cdf	41.5
2	157.5	38.5	inverse_cdf	40.0
2	15.0	4.5	inverse_cdf	3.0
2	67.5	20.5	inverse_cdf	20.0
2	127.5	28.5	inverse_cdf	28.0
2	120.0	28.0	inverse_cdf	25.5
2	22.5	7.0	inverse_cdf	4.0
2	142.5	34.0	inverse_cdf	36.5
2	75.0	20.0	inverse_cdf	21.0
2	112.5	23.5	inverse_cdf	24.0
2	52.5	11.5	inverse_cdf	16.0
2	165.0	37.5	inverse_cdf	41.0
2	142.5	32.0	inverse_cdf	36.5
2	112.5	23.0	inverse_cdf	24.0
2	82.5	21.0	inverse_cdf	21.5
2	22.5	7.0	inverse_cdf	4.0
2	90.0	22.5	inverse_cdf	22.0
2	135.0	28.5	inverse_cdf	32.5
2	30.0	7.5	inverse_cdf	5.0
2	52.5	14.0	inverse_cdf	16.0
2	157.5	34.0	inverse_cdf	40.0
2	60.0	11.5	inverse_cdf	18.5
2	172.5	39.0	inverse_cdf	41.5
2	150.0	35.0	inverse_cdf	39.0
2	127.5	28.0	inverse_cdf	28.0
2	97.5	22.5	inverse_cdf	22.5
2	67.5	19.0	inverse_cdf	20.0
2	7.5	3.0	inverse_cdf	2.5
